start,end,speed,length,capacity
2,1,,,
3,2,,,
3,27,,,
4,3,,,
5,4,,,
6,5,,,
5,29,,,
30,6,,,
13,6,,,
7,6,,,
31,7,,,
14,7,,,
8,7,,,
32,8,,,
15,8,,,
9,8,,,
33,9,,,
16,9,,,
10,9,,,
34,10,,,
11,10,,,
11,24,,,
12,11,,,
35,12,,,
160,12,,,
14,13,,,
15,14,,,
21,15,,,
16,15,,,
22,16,,,
17,16,,,
18,17,,,
10,18,,,
19,18,,,
20,19,,,
26,20,,,
22,21,,,
23,22,,,
20,23,,,
24,25,,,
25,12,,,
27,36,,,
28,27,,,
29,28,,,
28,4,,,
30,29,,,
29,38,,,
39,30,,,
31,30,,,
40,31,,,
32,31,,,
41,32,,,
33,32,,,
42,33,,,
35,34,,,
44,35,,,
36,45,,,
36,37,,,
37,38,,,
37,28,,,
38,39,,,
38,47,,,
48,39,,,
39,40,,,
49,40,,,
40,41,,,
50,41,,,
41,42,,,
63,42,,,
42,43,,,
43,44,,,
51,44,,,
45,52,,,
46,45,,,
47,46,,,
53,48,,,
48,47,,,
54,49,,,
49,48,,,
55,50,,,
50,49,,,
57,51,,,
51,50,,,
52,58,,,
60,53,,,
54,53,,,
61,54,,,
55,54,,,
62,55,,,
56,55,,,
57,56,,,
66,57,,,
59,58,,,
60,59,,,
69,60,,,
61,60,,,
70,61,,,
62,61,,,
63,62,,,
64,63,,,
65,64,,,
72,65,,,
66,65,,,
74,66,,,
180,66,,,
195,66,,,
75,67,,,
68,67,,,
69,68,,,
76,69,,,
70,69,,,
77,70,,,
71,70,,,
78,71,,,
72,71,,,
80,72,,,
72,73,,,
81,74,,,
73,74,,,
82,75,,,
76,75,,,
83,76,,,
77,76,,,
78,77,,,
87,78,,,
79,78,,,
80,79,,,
88,80,,,
81,80,,,
89,81,,,
84,82,,,
82,83,,,
86,83,,,
85,84,,,
86,85,,,
87,86,,,
93,86,,,
88,87,,,
89,88,,,
115,88,,,
258,89,,,
193,89,,,
89,116,,,
85,90,,,
90,91,,,
117,92,,,
91,92,,,
92,93,,,
110,94,,,
93,94,,,
94,95,,,
95,96,,,
96,97,,,
97,98,,,
98,99,,,
99,100,,,
94,100,,,
119,100,,,
112,101,,,
101,102,,,
93,102,,,
100,103,,,
103,104,,,
104,105,,,
105,106,,,
106,109,,,
104,107,,,
108,107,,,
109,108,,,
110,109,,,
111,110,,,
185,111,,,
112,113,,,
113,114,,,
114,115,,,
108,114,,,
115,116,,,
110,115,,,
116,111,,,
118,117,,,
125,117,,,
119,118,,,
120,119,,,
128,119,,,
121,120,,,
122,121,,,
149,121,,,
123,122,,,
152,122,,,
153,123,,,
124,123,,,
224,124,,,
126,125,,,
127,126,,,
142,127,,,
127,128,,,
132,129,,,
130,129,,,
143,130,,,
131,130,,,
120,131,,,
148,131,,,
133,132,,,
134,133,,,
135,134,,,
137,135,,,
136,137,,,
137,138,,,
146,138,,,
138,139,,,
137,140,,,
140,141,,,
129,142,,,
141,142,,,
144,143,,,
145,144,,,
145,146,,,
145,147,,,
147,148,,,
148,148,,,
139,150,,,
150,151,,,
151,152,,,
152,153,,,
153,154,,,
151,155,,,
155,156,,,
156,157,,,
189,157,,,
159,158,,,
160,159,,,
161,160,,,
162,161,,,
163,162,,,
175,162,,,
164,163,,,
165,164,,,
166,165,,,
167,166,,,
168,167,,,
173,167,,,
169,168,,,
202,169,,,
171,170,,,
172,170,,,
73,172,,,
174,173,,,
176,175,,,
177,176,,,
178,177,,,
179,178,,,
180,178,,,
195,180,,,
182,181,,,
257,182,,,
258,182,,,
81,182,,,
183,182,,,
184,183,,,
185,184,,,
186,185,,,
200,185,,,
187,186,,,
188,187,,,
154,188,,,
157,188,,,
190,189,,,
201,190,,,
192,191,,,
193,192,,,
194,193,,,
195,194,,,
257,194,,,
196,195,,,
197,196,,,
198,197,,,
199,198,,,
191,199,,,
191,200,,,
191,201,,,
191,201,,,
203,202,,,
220,203,,,
206,205,,,
207,206,,,
208,207,,,
218,208,,,
209,206,,,
246,210,,,
211,209,,,
212,211,,,
255,212,,,
215,213,,,
213,212,,,
212,214,,,
215,214,,,
213,216,,,
253,216,,,
216,217,,,
260,217,,,
216,218,,,
221,220,,,
241,220,,,
222,221,,,
223,222,,,
224,223,,,
225,224,,,
226,225,,,
227,226,,,
210,226,,,
228,227,,,
229,246,,,
230,229,,,
231,230,,,
251,231,,,
232,231,,,
233,232,,,
234,232,,,
235,234,,,
236,235,,,
254,235,,,
237,236,,,
238,237,,,
259,238,,,
239,238,,,
242,241,,,
243,242,,,
244,243,,,
245,244,,,
226,245,,,
246,245,,,
246,247,,,
248,247,,,
249,248,,,
250,226,,,
245,250,,,
250,251,,,
251,252,,,
252,253,,,
235,253,,,
256,255,,,
252,255,,,
83,257,,,
193,258,,,
254,259,,,
240,259,,,
261,260,,,
204,261,,,
205,261,,,
58,67,,,
206,203,,,
206,169,,,
247,209,,,
219,260,,,
71,63,,,
