start,end,speed,length,capacity
2,1,,339.36642,45.0
3,2,,132.36055,17.0
3,27,,77.16918,10.0
4,3,,62.330135,8.0
5,4,,51.08035,6.0
6,5,,60.335346,8.0
5,29,,79.90105,10.0
30,6,,80.20963,10.0
13,6,,81.037315,10.0
7,6,,138.68153,18.0
31,7,,79.56851,10.0
14,7,,79.15019,10.0
8,7,,136.8299,18.0
32,8,,79.56852,10.0
15,8,,78.53418,10.0
9,8,,137.44763,18.0
33,9,,77.47767,10.0
16,9,,80.40528,10.0
10,9,,103.49237,13.0
34,10,,78.21092,10.0
11,10,,35.597378,4.0
11,24,,29.546013,3.0
12,11,,104.394516,13.0
35,12,,78.4216,10.0
160,12,,49.07586,6.0
14,13,,137.7486,18.0
15,14,,138.21155,18.0
21,15,,139.69106,18.0
16,15,,135.85786,18.0
22,16,,70.76938,9.0
17,16,,16.563831,2.0
18,17,,86.59527,11.0
10,18,,78.62963,10.0
19,18,,19.44784,2.0
20,19,,31.748306,4.0
26,20,,96.42011,12.0
22,21,,160.36584,21.0
23,22,,75.96387,10.0
20,23,,78.80647,10.0
24,25,,70.80209,9.0
25,12,,16.6774,2.0
27,36,,79.6746,10.0
28,27,,63.39554,8.0
29,28,,49.416042,6.0
28,4,,82.1824,10.0
30,29,,63.566593,8.0
29,38,,77.51149,10.0
39,30,,74.97086,9.0
31,30,,137.30415,18.0
40,31,,76.6418,10.0
32,31,,136.83139,18.0
41,32,,73.30113,9.0
33,32,,137.0985,18.0
42,33,,76.85553,10.0
35,34,,138.758,18.0
44,35,,76.64183,10.0
36,45,,74.78481,9.0
36,37,,64.18515,8.0
37,38,,51.250233,6.0
37,28,,74.34224,9.0
38,39,,60.65194,8.0
38,47,,72.28916,9.0
48,39,,78.00409,10.0
39,40,,137.5988,18.0
49,40,,77.40307,10.0
40,41,,136.28468,18.0
50,41,,79.46729,10.0
41,42,,138.98602,18.0
63,42,,234.47223,31.0
42,43,,103.31573,13.0
43,44,,138.40569,18.0
51,44,,77.895775,10.0
45,52,,68.48712,9.0
46,45,,64.25725,8.0
47,46,,50.719627,6.0
53,48,,77.89576,10.0
48,47,,62.29365,8.0
54,49,,73.41631,9.0
49,48,,136.2166,18.0
55,50,,75.91758,10.0
50,49,,139.16183,18.0
57,51,,73.6092,9.0
51,50,,379.77356,50.0
52,58,,86.051125,11.0
60,53,,73.31238,9.0
54,53,,134.86179,17.0
61,54,,79.98697,10.0
55,54,,139.60474,18.0
62,55,,75.28167,10.0
56,55,,241.85191,32.0
57,56,,138.83119,18.0
66,57,,78.31393,10.0
59,58,,156.1393,20.0
60,59,,23.041643,3.0
69,60,,73.41636,9.0
61,60,,133.44781,17.0
70,61,,72.46683,9.0
62,61,,139.45117,18.0
63,62,,99.00991,13.0
64,63,,90.717705,12.0
65,64,,52.521202,7.0
72,65,,77.58674,10.0
66,65,,138.37503,18.0
74,66,,74.863495,9.0
180,66,,180.8308,24.0
195,66,,198.95778,26.0
75,67,,78.35846,10.0
68,67,,155.45546,20.0
69,68,,20.840122,2.0
76,69,,104.2473,13.0
70,69,,133.906,17.0
77,70,,78.95156,10.0
71,70,,216.59375,28.0
78,71,,77.15917,10.0
72,71,,165.37158,22.0
80,72,,76.33483,10.0
72,73,,72.435616,9.0
81,74,,79.674774,10.0
73,74,,66.73183,8.0
82,75,,77.747925,10.0
76,75,,179.61667,23.0
83,76,,51.233917,6.0
77,76,,137.8963,18.0
78,77,,188.71806,25.0
87,78,,91.90681,12.0
79,78,,38.142685,5.0
80,79,,152.64243,20.0
88,80,,88.04251,11.0
81,80,,139.7675,18.0
