start,end,speed,length,capacity
1,2,,,
2,3,,,
3,27,,,
3,4,,,
4,5,,,
5,6,,,
5,29,,,
6,30,,,
6,13,,,
6,7,,,
7,31,,,
7,14,,,
7,8,,,
8,32,,,
8,15,,,
8,9,,,
9,33,,,
9,16,,,
9,10,,,
10,34,,,
10,11,,,
11,24,,,
11,12,,,
12,35,,,
12,160,,,
13,14,,,
14,15,,,
15,21,,,
15,16,,,
16,22,,,
16,17,,,
17,18,,,
18,10,,,
18,19,,,
19,20,,,
20,26,,,
21,22,,,
22,23,,,
23,20,,,
24,25,,,
25,12,,,
27,36,,,
27,28,,,
28,29,,,
28,4,,,
29,30,,,
29,38,,,
30,39,,,
30,31,,,
31,40,,,
31,32,,,
32,41,,,
32,33,,,
33,42,,,
34,35,,,
35,44,,,
36,45,,,
36,37,,,
37,38,,,
37,28,,,
38,39,,,
38,47,,,
39,48,,,
39,40,,,
40,49,,,
40,41,,,
41,50,,,
41,42,,,
42,63,,,
42,43,,,
43,44,,,
44,51,,,
45,52,,,
46,45,,,
47,46,,,
48,53,,,
48,47,,,
49,54,,,
49,48,,,
50,55,,,
50,49,,,
51,57,,,
51,50,,,
52,58,,,
53,60,,,
53,54,,,
54,61,,,
54,55,,,
55,62,,,
55,56,,,
56,57,,,
57,66,,,
58,59,,,
59,60,,,
60,69,,,
60,61,,,
61,70,,,
61,62,,,
62,63,,,
63,64,,,
64,65,,,
65,72,,,
65,66,,,
66,74,,,
66,180,,,
66,195,,,
67,75,,,
68,67,,,
69,68,,,
69,76,,,
70,69,,,
70,77,,,
71,70,,,
71,78,,,
72,71,,,
72,80,,,
73,72,,,
74,81,,,
74,73,,,
75,82,,,
76,75,,,
76,83,,,
77,76,,,
78,77,,,
78,87,,,
79,78,,,
80,79,,,
80,88,,,
81,80,,,
81,89,,,
82,84,,,
83,82,,,
83,86,,,
84,85,,,
85,86,,,
86,87,,,
86,93,,,
87,88,,,
88,89,,,
88,115,,,
89,258,,,
89,193,,,
89,116,,,
90,85,,,
91,90,,,
92,117,,,
92,91,,,
93,92,,,
94,110,,,
94,93,,,
95,94,,,
96,95,,,
97,96,,,
98,97,,,
99,98,,,
100,99,,,
100,94,,,
100,119,,,
101,112,,,
102,101,,,
102,93,,,
103,100,,,
104,103,,,
104,105,,,
105,106,,,
106,109,,,
107,104,,,
107,108,,,
108,109,,,
109,110,,,
110,111,,,
111,185,,,
112,113,,,
113,114,,,
114,115,,,
114,108,,,
115,116,,,
115,110,,,
116,111,,,
117,118,,,
117,125,,,
118,119,,,
119,120,,,
119,128,,,
120,121,,,
121,122,,,
121,149,,,
122,123,,,
122,152,,,
123,153,,,
123,124,,,
124,224,,,
125,126,,,
126,127,,,
127,142,,,
128,127,,,
129,132,,,
129,130,,,
130,143,,,
130,131,,,
131,120,,,
131,148,,,
132,133,,,
133,134,,,
134,135,,,
135,137,,,
137,136,,,
138,137,,,
138,146,,,
139,138,,,
140,137,,,
141,140,,,
142,129,,,
142,141,,,
143,144,,,
144,145,,,
146,145,,,
147,145,,,
148,147,,,
148,148,,,
150,139,,,
151,150,,,
152,151,,,
153,152,,,
154,153,,,
155,151,,,
156,155,,,
157,156,,,
157,189,,,
158,159,,,
159,160,,,
160,161,,,
161,162,,,
162,163,,,
162,175,,,
163,164,,,
164,165,,,
165,166,,,
166,167,,,
167,168,,,
167,173,,,
168,169,,,
169,202,,,
170,171,,,
170,172,,,
172,73,,,
173,174,,,
175,176,,,
176,177,,,
177,178,,,
178,179,,,
178,180,,,
180,195,,,
181,182,,,
182,257,,,
182,258,,,
182,81,,,
182,183,,,
183,184,,,
184,185,,,
185,186,,,
185,200,,,
186,187,,,
187,188,,,
188,154,,,
188,157,,,
189,190,,,
190,201,,,
191,192,,,
192,193,,,
193,194,,,
194,195,,,
194,257,,,
195,196,,,
196,197,,,
197,198,,,
198,199,,,
199,191,,,
200,191,,,
201,191,,,
202,203,,,
203,220,,,
205,206,,,
206,207,,,
207,208,,,
208,218,,,
209,206,,,
210,246,,,
211,209,,,
212,211,,,
212,255,,,
213,215,,,
213,212,,,
214,212,,,
215,214,,,
216,213,,,
216,253,,,
217,216,,,
217,260,,,
218,216,,,
220,221,,,
220,241,,,
221,222,,,
222,223,,,
223,224,,,
224,225,,,
225,226,,,
226,227,,,
226,210,,,
227,228,,,
228,229,,,
229,230,,,
230,231,,,
231,251,,,
231,232,,,
232,233,,,
232,234,,,
234,235,,,
235,236,,,
235,254,,,
236,237,,,
237,238,,,
238,259,,,
238,239,,,
241,242,,,
242,243,,,
243,244,,,
244,245,,,
245,226,,,
245,246,,,
246,247,,,
247,248,,,
248,249,,,
250,246,,,
250,245,,,
251,250,,,
252,251,,,
253,252,,,
253,235,,,
255,256,,,
255,252,,,
257,83,,,
258,193,,,
259,254,,,
259,240,,,
260,261,,,
261,204,,,
261,205,,,
58,67,,,
219,260,,,
