start,end,id,capacity,length,speed,startlat,startlon,endlat,endlon
0,1,356119052,7,59.86368,45,42.369137,-71.08662,42.369232,-71.08733
1,2,329198601,92,694.5884,45,42.36666,-71.084274,42.372814,-71.08282
3,4,8615926,2,18.924955,45,42.372128,-71.08414,42.372295,-71.0841
4,5,8615059,3,22.793615,45,42.372044,-71.0822,42.372246,-71.08215
5,6,8615983,3,29.534832,45,42.36897,-71.08238,42.36895,-71.08202
6,7,8615635,2,21.9483,45,42.36677,-71.08857,42.36666,-71.08835
7,8,8615476,69,524.8373,45,42.370514,-71.08154,42.371323,-71.08784
10,11,33795680,122,916.2813,45,42.372658,-71.09253,42.371235,-71.08154
11,12,8615977,4,34.293274,45,42.367134,-71.088036,42.367085,-71.08762
12,13,8615977,2,17.554949,45,42.367085,-71.08762,42.367126,-71.08742
13,14,8615977,37,281.22073,45,42.367126,-71.08742,42.36666,-71.08405
14,15,8614767,1,8.937697,45,42.367,-71.08165,42.366985,-71.08154
15,16,8615811,35,269.02853,45,42.369698,-71.086006,42.37208,-71.08545
17,18,8614804,23,176.28513,45,42.367584,-71.085724,42.367825,-71.087845
18,19,8615600,7,59.791195,45,42.367947,-71.085655,42.367855,-71.08494
19,20,8615092,72,540.3577,45,42.370636,-71.08803,42.369823,-71.08154
20,21,356119052,1,7.5,45,42.369247,-71.08747,42.36926,-71.08753
21,22,356119052,3,28.858685,45,42.368305,-71.086105,42.36805,-71.08617
26,27,158303665,6,47.36538,45,42.36815,-71.08585,42.36773,-71.08595
27,28,158303665,3,24.887934,45,42.36671,-71.08205,42.366932,-71.082
28,29,158303665,2,19.036938,45,42.366932,-71.082,42.36696,-71.08223
29,30,158303665,4,33.563126,45,42.36696,-71.08223,42.36666,-71.0823
30,31,158303665,1,7.5,45,42.36666,-71.08206,42.36671,-71.08205
31,32,8614796,68,513.5703,45,42.368496,-71.08771,42.36773,-71.08154
33,34,8615738,64,487.32593,45,42.369865,-71.08739,42.369114,-71.08154
34,35,8615295,7,56.582573,45,42.36666,-71.08183,42.367123,-71.08154
35,36,8614998,43,323.21722,45,42.368423,-71.08154,42.368923,-71.08542
