start,end,speed,length,capacity
1,2,45,,
2,3,45,,
3,4,45,,
3,27,45,,
4,5,45,,
4,28,45,,
5,6,45,,
6,7,45,,
6,13,45,,
6,30,45,,
7,8,45,,
7,14,45,,
7,31,45,,
8,15,45,,
8,9,45,,
8,32,45,,
9,10,45,,
9,33,45,,
9,16,45,,
10,11,45,,
10,34,45,,
11,24,45,,
11,12,45,,
12,177,45,,
12,35,45,,
13,14,45,,
14,15,45,,
15,16,45,,
16,17,45,,
16,22,45,,
17,18,45,,
18,19,45,,
19,20,45,,
19,18,45,,
20,26,45,,
21,22,45,,
22,23,45,,
23,20,45,,
24,25,45,,
25,12,45,,
26,168,45,,
27,28,45,,
27,36,45,,
28,29,45,,
28,37,45,,
29,30,45,,
29,38,45,,
30,31,45,,
30,39,45,,
31,32,45,,
31,40,45,,
32,33,45,,
32,41,45,,
33,41,45,,
34,35,45,,
35,44,45,,
36,37,45,,
36,45,45,,
37,38,45,,
37,46,45,,
38,39,45,,
38,47,45,,
39,48,45,,
39,40,45,,
40,41,45,,
40,49,45,,
41,42,45,,
41,50,45,,
42,43,45,,
42,51,45,,
43,53,45,,
44,54,45,,
45,46,45,,
46,47,45,,
47,48,45,,
48,49,45,,
48,56,45,,
49,50,45,,
49,57,45,,
50,51,45,,
50,58,45,,
51,52,45,,
51,59,45,,
52,53,45,,
52,60,45,,
53,54,45,,
53,61,45,,
54,62,45,,
55,63,45,,
56,57,45,,
56,65,45,,
57,58,45,,
57,66,45,,
58,59,45,,
58,67,45,,
59,60,45,,
59,68,45,,
60,61,45,,
60,69,45,,
61,62,45,,
61,70,45,,
62,71,45,,
63,64,45,,
63,72,45,,
64,73,45,,
64,65,45,,
65,74,45,,
65,66,45,,
66,67,45,,
66,75,45,,
67,68,45,,
68,69,45,,
68,81,45,,
69,70,45,,
70,71,45,,
70,77,45,,
71,79,45,,
71,192,45,,
72,80,45,,
72,73,45,,
73,74,45,,
74,75,45,,
74,81,45,,
75,76,45,,
75,82,45,,
76,77,45,,
76,83,45,,
77,85,45,,
77,78,45,,
78,79,45,,
79,86,45,,
80,81,45,,
80,87,45,,
81,88,45,,
81,82,45,,
82,83,45,,
83,84,45,,
83,91,45,,
84,85,45,,
85,86,45,,
86,193,45,,
86,93,45,,
87,88,45,,
87,94,45,,
88,89,45,,
89,90,45,,
90,91,45,,
91,97,45,,
91,92,45,,
92,93,45,,
92,98,45,,
93,271,45,,
93,99,45,,
94,95,45,,
95,96,45,,
95,100,45,,
96,101,45,,
96,97,45,,
97,123,45,,
97,98,45,,
98,99,45,,
98,125,45,,
99,126,45,,
99,272,45,,
101,100,45,,
102,101,45,,
102,127,45,,
102,135,45,,
103,102,45,,
104,103,45,,
104,129,45,,
104,110,45,,
105,104,45,,
106,105,45,,
107,106,45,,
107,108,45,,
108,107,45,,
108,109,45,,
109,108,45,,
109,110,45,,
110,109,45,,
110,104,45,,
110,113,45,,
111,112,45,,
112,113,45,,
113,110,45,,
113,115,45,,
113,114,45,,
114,117,45,,
115,116,45,,
116,119,45,,
117,118,45,,
117,114,45,,
118,119,45,,
118,124,45,,
119,120,45,,
119,118,45,,
120,121,45,,
121,196,45,,
122,111,45,,
122,123,45,,
122,123,45,,
123,124,45,,
123,117,45,,
123,124,45,,
124,125,45,,
125,126,45,,
126,121,45,,
