start,end,length,speed,capacity
1,2,339.36642,45,45.0
2,3,132.36055,45,17.0
3,27,77.16918,45,10.0
3,4,62.330135,45,8.0
4,5,51.08035,45,6.0
5,6,60.335346,45,8.0
5,29,79.90105,45,10.0
6,30,80.20963,45,10.0
6,13,81.037315,45,10.0
6,7,138.68153,45,18.0
7,31,79.56851,45,10.0
7,14,79.15019,45,10.0
7,8,136.8299,45,18.0
8,32,79.56852,45,10.0
8,15,78.53418,45,10.0
8,9,137.44763,45,18.0
9,33,77.47767,45,10.0
9,16,80.40528,45,10.0
9,10,103.49237,45,13.0
10,34,78.21092,45,10.0
10,11,35.597378,45,4.0
11,24,29.546013,45,3.0
11,12,104.394516,45,13.0
12,35,78.4216,45,10.0
13,14,137.7486,45,18.0
14,15,138.21155,45,18.0
15,21,139.69106,45,18.0
15,16,135.85786,45,18.0
16,22,70.76938,45,9.0
16,17,16.563831,45,2.0
17,18,86.59527,45,11.0
18,10,78.62963,45,10.0
18,19,19.44784,45,2.0
19,20,31.748306,45,4.0
20,26,96.42011,45,12.0
21,22,160.36584,45,21.0
22,23,75.96387,45,10.0
23,20,78.80647,45,10.0
24,25,70.80209,45,9.0
25,12,16.6774,45,2.0
27,36,79.6746,45,10.0
27,28,63.39554,45,8.0
28,29,49.416042,45,6.0
28,4,82.1824,45,10.0
29,30,63.566593,45,8.0
29,38,77.51149,45,10.0
30,39,74.97086,45,9.0
30,31,137.30415,45,18.0
31,40,76.6418,45,10.0
31,32,136.83139,45,18.0
32,41,73.30113,45,9.0
32,33,137.0985,45,18.0
33,42,76.85553,45,10.0
34,35,138.758,45,18.0
35,44,76.64183,45,10.0
36,45,74.78481,45,9.0
36,37,64.18515,45,8.0
37,38,51.250233,45,6.0
37,28,74.34224,45,9.0
38,39,60.65194,45,8.0
38,47,72.28916,45,9.0
39,48,78.00409,45,10.0
39,40,137.5988,45,18.0
40,49,77.40307,45,10.0
40,41,136.28468,45,18.0
41,50,79.46729,45,10.0
41,42,138.98602,45,18.0
42,53,441.6248,45,58.0
42,43,103.31573,45,13.0
43,44,138.40569,45,18.0
44,51,77.895775,45,10.0
45,52,68.48712,45,9.0
46,45,64.25725,45,8.0
47,46,50.719627,45,6.0
48,53,77.89576,45,10.0
48,47,62.29365,45,8.0
49,54,73.41631,45,9.0
49,48,136.2166,45,18.0
50,55,75.91758,45,10.0
50,49,139.16183,45,18.0
51,57,73.6092,45,9.0
51,50,379.77356,45,50.0
52,58,86.051125,45,11.0
53,60,73.31238,45,9.0
53,54,134.86179,45,17.0
54,61,79.98697,45,10.0
54,55,139.60474,45,18.0
55,62,75.28167,45,10.0
55,56,241.85191,45,32.0
56,57,138.83119,45,18.0
57,66,78.31393,45,10.0
58,59,156.1393,45,20.0
59,60,23.041643,45,3.0
60,69,73.41636,45,9.0
60,61,133.44781,45,17.0
61,70,72.46683,45,9.0
61,62,139.45117,45,18.0
62,63,99.00991,45,13.0
63,64,90.717705,45,12.0
64,65,52.521202,45,7.0
65,72,77.58674,45,10.0
65,66,138.37503,45,18.0
66,74,74.863495,45,9.0
67,75,78.35846,45,10.0
68,67,155.45546,45,20.0
69,68,20.840122,45,2.0
69,76,104.2473,45,13.0
70,69,133.906,45,17.0
70,77,78.95156,45,10.0
71,70,216.59375,45,28.0
71,78,77.15917,45,10.0
72,71,165.37158,45,22.0
72,80,76.33483,45,10.0
73,72,72.435616,45,9.0
74,81,79.674774,45,10.0
74,73,66.73183,45,8.0
76,75,179.61667,45,23.0
77,76,137.8963,45,18.0
78,77,188.71806,45,25.0
79,78,38.142685,45,5.0
80,79,152.64243,45,20.0
81,80,139.7675,45,18.0
