name,lat,lon,open,close,income,id
Cafe Podima,42.361008,-71.06493,11,11,1,4
Felcaros Pizzeria,42.360996,-71.068054,11,11,1,7
Fin's,42.36102,-71.06682,11,11,1,8
Legal Seafoods,42.362705,-71.08784,11,11,1,12
Za Restaurant,42.363495,-71.083466,11,11,1,19
Cheescake Factory,42.367172,-71.076256,10,11,1,20
Jobi Liquors,42.361008,-71.06499,9,11,1,57
Simmons Liquor,42.361004,-71.0661,9,11,1,76
Clover,42.362602,-71.086624,8,11,1,89
Anna's Taqueria,42.360992,-71.067154,7,11,1,92
Dunkin' Donuts,42.362434,-71.0832,6,11,1,103
