name,lat,lon,open,closing,income,id
"Aegerion Pharmaceuticals, Inc.",42.362263,-71.079605,9,5,3,24
"Akashi Therapeutics, Inc.",42.3638,-71.079666,9,5,3,25
"Akebia Therapeutics, Inc.",42.363758,-71.07951,9,5,3,26
"Akrivis Technologies, LLC",42.363,-71.08358,9,5,3,27
Alexion Pharmaceuticals,42.365986,-71.07584,9,5,3,28
Alnylam Pharmaceuticals,42.365257,-71.08195,9,5,3,29
AOBiome,42.362846,-71.08318,9,5,3,30
Arteaus Therapeutics,42.369457,-71.07753,9,5,1,31
Bank of America,42.3614,-71.06543,9,5,2,32
Bank Of America,42.362103,-71.084366,9,5,2,33
Bayer Diagnostics,42.36617,-71.08143,9,5,3,34
Boston Shriners Hospital,42.36321,-71.06638,9,5,3,36
Cambridge Fire Department,42.371178,-71.07878,9,5,2,37
Cambridge Trust Company,42.362316,-71.08685,9,5,3,38
Charles MGH,42.361164,-71.070625,9,5,3,39
Charles River Park Cleaners,42.364925,-71.06657,9,5,1,40
Constellation Pharmaceuticals,42.36434,-71.07875,9,5,3,41
CVS,42.36201,-71.06573,9,5,2,42
Dewey Library,42.361404,-71.08341,9,5,2,44
Eastern Bank,42.362617,-71.083885,9,5,2,45
Eleven Biotherapeutics,42.364185,-71.07872,9,5,3,46
Facebook Boston,42.362633,-71.08366,9,5,3,47
"Foundation Medicine, Inc. Headquarters",42.36721,-71.079216,9,5,3,48
Google,42.36277,-71.08726,9,5,3,50
Harrison Lyman Library,42.367256,-71.07051,9,5,2,51
Hotel Marlowe,42.367912,-71.07493,9,5,1,52
"Idenix Pharmaceuticals, Inc.",42.367542,-71.087585,9,5,3,53
Information Resource Center,42.362125,-71.084564,9,5,2,54
InterSystems Corporation,42.3615,-71.08136,9,5,2,55
Intrepid Labs,42.36622,-71.07759,9,5,3,56
Kendall/MIT,42.362255,-71.08623,9,5,2,58
Lunder Emergency Room,42.362736,-71.0691,9,5,2,59
Massachusetts Eye and Ear Infirmary Libraries,42.362633,-71.07033,9,5,2,60
Microsoft ,42.36253,-71.08491,9,5,3,61
Middlesex County Sheriff,42.369408,-71.0795,9,5,2,62
Middlesex Law Library,42.36948,-71.0794,9,5,1,63
MIT Coop,42.36268,-71.086395,9,5,1,64
MIT Medical,42.36124,-71.08654,9,5,3,65
Moderna Pharmaceuticals,42.367493,-71.087395,9,5,3,67
New England Sports Museum,42.367596,-71.07449,9,5,1,69
Palmer-Davis Library,42.36315,-71.069496,9,5,2,70
Post Office,42.362137,-71.08447,9,5,1,71
Rowland Research Institute,42.363987,-71.07783,9,5,3,73
Royal Sonesta Hotel,42.36679,-71.074844,9,5,2,74
Shriners Burn Institute,42.36315,-71.06672,9,5,3,75
Starbucks,42.363846,-71.08782,9,5,1,77
,,,,,,
TD Bank,42.36102,-71.06778,9,5,2,80
Treadwell Library,42.36273,-71.06741,9,5,2,81
Virtual Knowledge Workers,42.362743,-71.083786,9,5,3,83
VMware,42.362724,-71.087234,9,5,3,84
Wang Ambulatory Care Center,42.36258,-71.06825,9,5,2,85
Wyndham Boston Beacon Hill,42.36167,-71.06663,9,5,1,87
Bailey and Sage,42.36279,-71.086586,7,5,1,95
