start,end,mph,length,capacity,ms
2,1,40,339.36642,45,18
3,2,40,132.36055,17,18
4,3,30,62.330135,8,13
27,3,40,77.16918,10,18
5,4,40,51.08035,6,18
28,4,40,82.1824,10,18
6,5,30,60.335346,8,13
7,6,30,138.68153,18,13
13,6,30,81.037315,10,13
30,6,40,80.20963,10,18
8,7,30,136.8299,18,13
14,7,30,79.15019,10,13
31,7,40,79.56851,10,18
15,8,30,78.53418,10,13
9,8,30,137.44763,18,13
32,8,40,79.56852,10,18
10,9,40,103.49237,13,18
33,9,40,77.47767,10,18
16,9,40,80.40528,10,18
11,10,30,35.597378,4,13
34,10,40,78.21092,10,18
24,11,15,29.546013,3,7
12,11,40,104.394516,13,18
177,12,30,702.8941,93,13
35,12,40,78.4216,10,18
14,13,30,137.7486,18,13
15,14,30,138.21155,18,13
16,15,30,135.85786,18,13
17,16,30,16.563831,2,13
22,16,40,70.76938,9,18
18,17,15,86.59527,11,7
19,18,30,19.44784,2,13
20,19,30,31.748306,4,13
18,19,30,19.44784,2,13
26,20,45,96.42011,12,20
22,21,65,160.36584,21,29
23,22,65,75.96387,10,29
20,23,65,78.80647,10,29
25,24,65,70.80209,9,29
12,25,15,16.6774,2,7
168,26,15,72.85976,9,7
28,27,30,63.39554,8,13
36,27,30,79.6746,10,13
29,28,30,49.416042,6,13
37,28,30,74.34224,9,13
30,29,30,63.566593,8,13
38,29,30,77.51149,10,13
31,30,30,137.30415,18,13
39,30,30,74.97086,9,13
32,31,30,136.83139,18,13
40,31,30,76.6418,10,13
33,32,30,137.0985,18,13
41,32,30,73.30113,9,13
41,33,40,156.88585,20,18
35,34,30,138.758,18,13
44,35,30,76.64183,10,13
37,36,30,64.18515,8,13
45,36,30,74.78481,9,13
38,37,30,51.250233,6,13
46,37,30,75.20108,10,13
39,38,30,60.65194,8,13
47,38,30,72.28916,9,13
48,39,30,78.00409,10,13
40,39,30,137.5988,18,13
41,40,30,136.28468,18,13
49,40,30,77.40307,10,13
42,41,30,138.98602,18,13
50,41,30,79.46729,10,13
43,42,40,103.31573,13,18
51,42,30,76.53669,10,13
53,43,30,75.80624,10,13
54,44,30,77.895775,10,13
46,45,30,64.25725,8,13
47,46,30,50.719627,6,13
48,47,30,62.29365,8,13
49,48,30,136.2166,18,13
56,48,30,77.89576,10,13
50,49,30,139.16183,18,13
57,49,30,73.41631,9,13
51,50,30,138.47456,18,13
58,50,30,75.91758,10,13
52,51,30,49.00191,6,13
59,51,30,77.99025,10,13
53,52,30,53.54576,7,13
60,52,30,76.955185,10,13
54,53,30,138.76093,18,13
61,53,30,77.05977,10,13
62,54,30,73.6092,9,13
63,55,30,86.051125,11,13
57,56,30,134.86179,17,13
