id,amount
44,125
204,63
240,71
233,87
179,124
239,52
43,38
128,77
134,17
197,25
131,34
237,104
236,88
240,91
259,260
131,163
204,219
10,161
240,447
149,41
95,286
174,181
131,132
152,471
134,99
211,459
209,91
43,229
135,225
209,443
198,151
235,311
234,309
215,473
231,486
214,266
256,157
123,315
110,175
110,158
99,265
198,221
114,213
99,313
79,136
219,298
132,280
239,154
116,278
116,69
95,68
70,64
128,164
75,361
74,304
128,103
135,317
75,64
259,258
199,130
219,90
95,199
128,160
