start,end,mph,length,capacity,ms
1,2,40,339.36642,45,18
2,3,40,132.36055,17,18
3,27,30,77.16918,10,13
3,4,40,62.330135,8,18
4,5,40,51.08035,6,18
5,6,40,60.335346,8,18
5,29,30,79.90105,10,13
6,30,30,80.20963,10,13
6,13,30,81.037315,10,13
6,7,40,138.68153,18,18
7,31,30,79.56851,10,13
7,14,30,79.15019,10,13
7,8,40,136.8299,18,18
8,32,30,79.56852,10,13
8,15,30,78.53418,10,13
8,9,40,137.44763,18,18
9,33,40,77.47767,10,18
9,16,40,80.40528,10,18
9,10,40,103.49237,13,18
10,34,30,78.21092,10,13
10,11,40,35.597378,4,18
11,24,15,29.546013,3,7
11,12,40,104.394516,13,18
12,35,30,78.4216,10,13
12,160,40,49.07586,6,18
13,14,30,137.7486,18,13
14,15,30,138.21155,18,13
15,21,30,139.69106,18,13
15,16,30,135.85786,18,13
16,22,40,70.76938,9,18
16,17,15,16.563831,2,7
17,18,30,86.59527,11,13
18,10,30,78.62963,10,13
18,19,30,19.44784,2,13
19,20,45,31.748306,4,20
20,26,65,96.42011,12,29
21,22,65,160.36584,21,29
22,23,65,75.96387,10,29
23,20,65,78.80647,10,29
24,25,15,70.80209,9,7
25,12,15,16.6774,2,7
27,36,30,79.6746,10,13
27,28,30,63.39554,8,13
28,29,30,49.416042,6,13
28,4,30,82.1824,10,13
29,30,30,63.566593,8,13
29,38,30,77.51149,10,13
30,39,30,74.97086,9,13
30,31,30,137.30415,18,13
31,40,30,76.6418,10,13
31,32,30,136.83139,18,13
32,41,30,73.30113,9,13
32,33,30,137.0985,18,13
33,42,40,76.85553,10,18
34,35,30,138.758,18,13
35,44,30,76.64183,10,13
36,45,30,74.78481,9,13
36,37,30,64.18515,8,13
37,38,30,51.250233,6,13
37,28,30,74.34224,9,13
38,39,30,60.65194,8,13
38,47,30,72.28916,9,13
39,48,30,78.00409,10,13
39,40,30,137.5988,18,13
40,49,30,77.40307,10,13
40,41,30,136.28468,18,13
41,50,30,79.46729,10,13
41,42,30,138.98602,18,13
42,63,40,234.47223,31,18
42,43,30,103.31573,13,13
43,44,30,138.40569,18,13
44,51,30,77.895775,10,13
45,52,30,68.48712,9,13
46,45,30,64.25725,8,13
47,46,30,50.719627,6,13
48,53,30,77.89576,10,13
48,47,30,62.29365,8,13
49,54,30,73.41631,9,13
49,48,30,136.2166,18,13
50,55,30,75.91758,10,13
50,49,30,139.16183,18,13
51,57,30,73.6092,9,13
51,50,30,379.77356,50,13
52,58,30,86.051125,11,13
53,60,30,73.31238,9,13
53,54,30,134.86179,17,13
54,61,30,79.98697,10,13
54,55,30,139.60474,18,13
55,62,30,75.28167,10,13
55,56,30,241.85191,32,13
56,57,30,138.83119,18,13
57,66,30,78.31393,10,13
58,59,30,156.1393,20,13
59,60,30,23.041643,3,13
60,69,30,73.41636,9,13
60,61,30,133.44781,17,13
61,70,30,72.46683,9,13
61,62,30,139.45117,18,13
62,63,30,99.00991,13,13
63,64,30,90.717705,12,13
64,65,30,52.521202,7,13
65,72,30,77.58674,10,13
65,66,30,138.37503,18,13
66,74,30,74.863495,9,13
66,180,30,180.8308,24,13
66,195,30,198.95778,26,13
67,75,30,78.35846,10,13
68,67,30,155.45546,20,13
69,68,30,20.840122,2,13
69,76,30,104.2473,13,13
70,69,30,133.906,17,13
70,77,30,78.95156,10,13
71,70,30,216.59375,28,13
71,78,40,77.15917,10,18
72,71,30,165.37158,22,13
72,80,30,76.33483,10,13
73,72,30,72.435616,9,13
74,81,30,79.674774,10,13
74,73,30,66.73183,8,13
75,82,30,77.747925,10,13
76,75,30,179.61667,23,13
76,83,30,51.233917,6,13
77,76,30,137.8963,18,13
78,77,30,188.71806,25,13
78,87,40,91.90681,12,18
79,78,30,38.142685,5,13
80,79,30,152.64243,20,13
80,88,30,88.04251,11,13
81,80,30,139.7675,18,13
81,89,30,86.158485,11,13
82,84,40,16.231445,2,18
83,82,40,169.28096,22,18
83,86,40,54.3855,7,18
84,85,40,57.17909,7,18
85,86,40,46.776447,6,18
86,87,40,355.1034,47,18
86,93,40,365.50537,48,18
87,88,40,213.46211,28,18
88,89,40,138.15121,18,18
88,115,30,63.366287,8,13
89,258,40,65.52368,8,18
89,193,30,79.82854,10,13
89,116,30,62.83962,8,13
90,85,30,221.00743,29,13
91,90,40,44.273567,5,18
92,117,30,13.124365,1,13
92,91,40,72.647316,9,18
93,92,40,209.60149,27,18
94,93,40,69.50557,9,18
95,94,40,68.96513,9,18
96,95,40,51.01246,6,18
97,96,40,86.05478,11,18
98,97,15,52.780403,7,7
99,98,15,46.714226,6,7
100,99,15,126.73687,16,7
100,94,40,83.67146,11,18
100,119,40,94.51882,12,18
101,112,15,103.83958,13,7
102,101,15,44.572144,5,7
102,93,15,141.89763,18,7
103,100,40,59.686653,7,18
104,103,40,11.86936,1,18
104,105,30,61.473904,8,13
105,106,30,60.97647,8,13
106,109,30,75.01798,10,13
107,104,30,62.26347,8,13
107,108,30,100.01093,13,13
108,109,30,15.257563,2,13
109,110,30,131.14201,17,13
110,111,30,135.68593,18,13
111,185,30,69.77692,9,13
112,113,30,150.71967,20,13
113,114,30,83.91563,11,13
114,115,30,144.94554,19,13
114,108,30,75.08367,10,13
115,116,30,138.6963,18,13
115,110,30,76.11842,10,13
116,111,30,77.11222,10,13
117,118,40,224.18793,29,18
117,125,30,54.466415,7,13
118,119,40,66.81055,8,18
119,120,40,63.14966,8,18
119,128,40,48.23497,6,18
120,121,40,38.62715,5,18
121,122,40,120.21745,16,18
121,149,40,94.9947,12,18
122,123,40,148.05579,19,18
122,152,40,98.24358,13,18
123,153,40,38.590363,5,18
123,124,40,76.77628,10,18
124,224,40,527.52155,70,18
125,126,40,52.836617,7,18
126,127,40,53.84912,7,18
127,142,40,19.180285,2,18
128,127,40,272.1961,36,18
129,132,40,11.9428835,1,18
129,130,40,158.1613,21,18
130,143,30,45.17615,6,13
130,131,40,78.21521,10,18
131,120,30,34.288837,4,13
131,148,30,83.95888,11,13
132,133,30,51.569572,6,13
133,134,30,77.6153,10,13
134,135,30,64.7786,8,13
135,137,30,91.98349,12,13
137,136,30,73.39116,9,13
138,137,30,91.30617,12,13
138,146,30,101.51453,13,13
139,138,30,91.9864,12,13
140,137,30,113.96703,15,13
141,140,30,145.57826,19,13
142,129,30,90.3013,12,13
142,141,30,142.12305,18,13
143,144,30,15.098089,2,13
144,145,30,45.76192,6,13
146,145,30,69.298454,9,13
147,145,30,49.347836,6,13
148,147,30,16.386261,2,13
148,148,30,0,0,13
150,139,30,94.85911,12,13
151,150,65,119.48495,15,29
152,151,65,87.92754,11,29
153,152,65,118.044334,15,29
154,153,65,60.277836,8,29
155,151,65,232.52725,31,29
156,155,65,36.26372,4,29
157,156,65,29.769905,3,29
157,189,65,17.294674,2,29
158,159,65,16.818798,2,29
159,160,65,34.322205,4,29
160,161,65,53.663998,7,29
161,162,65,43.425087,5,29
162,163,65,209.96965,27,29
162,175,65,193.69789,25,29
163,164,65,39.11841,5,29
164,165,65,36.5668,4,29
165,166,65,181.35796,24,29
166,167,65,94.84222,12,29
167,168,65,54.49203,7,29
167,173,65,15.971931,2,29
168,169,65,79.90588,10,29
169,202,65,148.32443,19,29
170,171,15,20.725273,2,7
170,172,15,117.546555,15,7
172,73,30,676.03796,90,13
173,174,15,69.90555,9,7
175,176,65,20.240532,2,29
176,177,65,36.353374,4,29
177,178,65,88.390045,11,29
178,179,65,62.298466,8,29
178,180,65,141.23503,18,29
180,195,65,18.221647,2,29
181,182,65,130.02975,17,29
182,257,65,89.58461,11,29
182,258,65,104.7051,13,29
182,81,30,105.91102,14,13
182,183,65,211.84177,28,29
183,184,65,42.555965,5,29
184,185,65,64.8589,8,29
185,186,65,64.61894,8,29
185,200,65,26.52037,3,29
186,187,65,64.842255,8,29
187,188,65,53.6808,7,29
188,154,65,53.869686,7,29
188,157,65,40.988514,5,29
189,190,65,47.48267,6,29
190,201,65,140.75235,18,29
191,192,65,101.58219,13,29
192,193,65,127.577225,17,29
193,194,65,11.60278,1,29
194,195,65,266.69568,35,29
194,257,65,15.217249,2,29
195,196,65,125.10043,16,29
196,197,30,40.711086,5,13
197,198,30,111.96573,14,13
198,199,30,497.93518,66,13
199,191,30,22.268976,2,13
200,191,65,18.05674,2,29
201,191,65,46.2733,6,29
202,203,65,74.95637,9,29
203,220,65,123.36738,16,29
205,206,30,123.10066,16,13
206,207,30,123.712326,16,13
207,208,30,68.58189,9,13
208,218,30,67.480446,8,13
209,206,30,211.8905,28,13
210,246,30,27.5785,3,13
211,209,30,173.92755,23,13
212,211,30,60.1832,8,13
212,255,30,26.328712,3,13
213,215,30,61.240185,8,13
213,212,30,6.282795,0,13
214,212,30,63.40071,8,13
215,214,30,24.626436,3,13
216,213,30,63.324226,8,13
216,253,30,105.738556,14,13
217,216,30,15.044303,2,13
217,260,30,136.18324,18,13
218,216,30,136.59729,18,13
220,221,65,73.098335,9,29
220,241,65,62.512314,8,29
221,222,65,130.38924,17,29
222,223,65,113.06513,15,29
223,224,65,59.89316,7,29
224,225,65,123.916595,16,29
225,226,65,40.17682,5,29
226,227,65,49.20493,6,29
226,210,65,33.395145,4,29
227,228,40,26.334526,3,18
228,229,40,13.531044,1,18
229,230,40,35.10656,4,18
230,231,40,58.32238,7,18
231,251,40,18.758204,2,18
231,232,40,40.12781,5,18
232,233,40,47.96865,6,18
232,234,40,33.247772,4,18
234,235,40,73.97395,9,18
235,236,40,47.03146,6,18
235,254,40,15.110932,2,18
236,237,40,31.342827,4,18
237,238,40,40.121056,5,18
238,259,40,12.317037,1,18
238,239,40,29.465305,3,18
241,242,40,82.7355,11,18
