start,end,speed,length,capacity
1,2,18,339.36642,45
2,3,18,132.36055,17
3,4,18,62.330135,8
3,27,13,77.16918,10
4,5,18,51.08035,6
4,28,13,82.1824,10
5,6,18,60.335346,8
5,29,13,79.90105,10
6,30,13,80.20963,10
6,13,13,81.037315,10
6,7,18,138.68153,18
7,31,13,79.56851,10
7,14,13,79.15019,10
7,8,18,136.8299,18
8,32,13,79.56852,10
8,15,13,78.53418,10
8,9,18,137.44763,18
9,33,18,77.47767,10
9,16,18,80.40528,10
9,10,18,103.49237,13
10,11,18,35.597378,4
10,34,13,78.21092,10
10,18,13,78.62963,10
11,24,7,29.546013,3
11,12,18,104.394516,13
12,25,7,16.6774,2
12,160,18,49.07586,6
12,35,13,78.4216,10
13,14,13,137.7486,18
14,15,13,138.21155,18
15,21,13,139.69106,18
15,16,13,135.85786,18
16,17,7,16.563831,2
16,22,18,70.76938,9
17,18,13,86.59527,11
18,19,13,19.44784,2
19,20,20,31.748306,4
20,23,29,78.80647,10
20,26,29,96.42011,12
21,22,29,160.36584,21
22,23,29,75.96387,10
24,25,7,70.80209,9
27,28,13,63.39554,8
27,36,13,79.6746,10
28,29,13,49.416042,6
28,37,13,74.34224,9
29,30,13,63.566593,8
29,38,13,77.51149,10
30,39,13,74.97086,9
30,31,13,137.30415,18
31,40,13,76.6418,10
31,32,13,136.83139,18
32,41,13,73.30113,9
32,33,13,137.0985,18
33,42,18,76.85553,10
34,35,13,138.758,18
35,44,13,76.64183,10
36,37,13,64.18515,8
36,45,13,74.78481,9
37,38,13,51.250233,6
38,39,13,60.65194,8
38,47,13,72.28916,9
39,48,13,78.00409,10
39,40,13,137.5988,18
40,49,13,77.40307,10
40,41,13,136.28468,18
41,50,13,79.46729,10
41,42,13,138.98602,18
42,43,13,103.31573,13
42,63,18,234.47223,31
43,44,13,138.40569,18
44,51,13,77.895775,10
45,46,13,64.25725,8
45,52,13,68.48712,9
46,47,13,50.719627,6
47,48,13,62.29365,8
48,53,13,77.89576,10
48,49,13,136.2166,18
49,54,13,73.41631,9
49,50,13,139.16183,18
50,55,13,75.91758,10
50,51,13,379.77356,50
51,57,13,73.6092,9
52,58,13,86.051125,11
53,60,13,73.31238,9
53,54,13,134.86179,17
54,61,13,79.98697,10
54,55,13,139.60474,18
55,62,13,75.28167,10
55,56,13,241.85191,32
56,57,13,138.83119,18
57,66,13,78.31393,10
58,67,18,75.50249,10
58,59,13,156.1393,20
59,60,13,23.041643,3
60,69,13,73.41636,9
60,61,13,133.44781,17
61,70,13,72.46683,9
61,62,13,139.45117,18
62,63,13,99.00991,13
63,71,18,81.617386,10
63,64,13,90.717705,12
64,65,13,52.521202,7
65,72,13,77.58674,10
65,66,13,138.37503,18
66,74,13,74.863495,9
66,180,13,180.8308,24
66,195,13,198.95778,26
67,75,13,78.35846,10
67,68,13,155.45546,20
68,69,13,20.840122,2
69,76,13,104.2473,13
69,70,13,133.906,17
70,77,13,78.95156,10
70,71,13,216.59375,28
71,78,18,77.15917,10
71,72,13,165.37158,22
72,73,13,72.435616,9
72,80,13,76.33483,10
73,74,13,66.73183,8
73,172,13,676.03796,90
74,81,13,79.674774,10
75,82,13,77.747925,10
75,76,13,179.61667,23
76,83,13,51.233917,6
76,77,13,137.8963,18
77,78,13,188.71806,25
78,79,13,38.142685,5
78,87,18,91.90681,12
79,80,13,152.64243,20
80,88,13,88.04251,11
80,81,13,139.7675,18
81,89,13,86.158485,11
81,182,13,105.91102,14
82,84,18,16.231445,2
82,83,18,169.28096,22
83,86,18,54.3855,7
84,85,18,57.17909,7
85,86,18,46.776447,6
85,90,13,221.00743,29
86,87,18,355.1034,47
86,93,18,365.50537,48
87,88,18,213.46211,28
88,115,13,63.366287,8
88,89,18,138.15121,18
89,116,13,62.83962,8
89,193,13,79.82854,10
89,260,13,976.2573,130
90,91,18,44.273567,5
91,92,18,72.647316,9
92,117,13,13.124365,1
92,93,18,209.60149,27
93,94,18,69.50557,9
93,102,7,141.89763,18
94,95,18,68.96513,9
94,100,18,83.67146,11
95,96,18,51.01246,6
96,97,18,86.05478,11
97,98,7,52.780403,7
98,99,7,46.714226,6
99,100,7,126.73687,16
100,103,18,59.686653,7
100,119,18,94.51882,12
101,102,7,44.572144,5
101,112,7,103.83958,13
103,104,18,11.86936,1
104,105,13,61.473904,8
104,107,13,62.26347,8
105,106,13,60.97647,8
106,109,13,75.01798,10
107,108,13,100.01093,13
108,109,13,15.257563,2
108,114,13,75.08367,10
109,110,13,131.14201,17
110,115,13,76.11842,10
110,111,13,135.68593,18
111,185,13,69.77692,9
111,116,13,77.11222,10
112,113,13,150.71967,20
113,114,13,83.91563,11
114,115,13,144.94554,19
115,116,13,138.6963,18
117,125,13,54.466415,7
117,118,18,224.18793,29
118,119,18,66.81055,8
119,128,18,48.23497,6
119,120,18,63.14966,8
120,131,13,34.288837,4
120,121,18,38.62715,5
121,149,18,94.9947,12
121,122,18,120.21745,16
122,152,18,98.24358,13
122,123,18,148.05579,19
123,153,18,38.590363,5
123,124,18,76.77628,10
125,126,18,52.836617,7
126,127,18,53.84912,7
127,142,18,19.180285,2
127,128,18,272.1961,36
129,132,18,11.9428835,1
129,142,13,90.3013,12
129,130,18,158.1613,21
130,143,13,45.17615,6
130,131,18,78.21521,10
131,148,13,83.95888,11
132,133,13,51.569572,6
133,134,13,77.6153,10
134,135,13,64.7786,8
135,137,13,91.98349,12
136,137,13,73.39116,9
137,138,13,91.30617,12
137,140,13,113.96703,15
138,139,13,91.9864,12
138,146,13,101.51453,13
139,150,13,94.85911,12
140,141,13,145.57826,19
141,142,13,142.12305,18
143,144,13,15.098089,2
144,145,13,45.76192,6
145,147,13,49.347836,6
145,146,13,69.298454,9
147,148,13,16.386261,2
150,151,29,119.48495,15
151,152,29,87.92754,11
151,155,29,232.52725,31
152,153,29,118.044334,15
153,154,29,60.277836,8
154,188,29,53.869686,7
155,156,29,36.26372,4
156,157,29,29.769905,3
157,189,29,17.294674,2
157,188,29,40.988514,5
158,159,29,16.818798,2
159,160,29,34.322205,4
160,161,29,53.663998,7
161,162,29,43.425087,5
162,175,29,193.69789,25
162,163,29,209.96965,27
163,164,29,39.11841,5
164,165,29,36.5668,4
165,166,29,181.35796,24
166,167,29,94.84222,12
167,173,29,15.971931,2
167,168,29,54.49203,7
168,169,29,79.90588,10
169,202,29,148.32443,19
170,171,7,20.725273,2
170,172,7,117.546555,15
173,174,7,69.90555,9
175,176,29,20.240532,2
176,177,29,36.353374,4
177,178,29,88.390045,11
178,179,29,62.298466,8
178,180,29,141.23503,18
180,195,29,18.221647,2
181,182,29,130.02975,17
