name,lat,lon,open,close,income,id
Verizon Wireless TCC,42.36099,-71.06862,9,7,2,786
Anna's Taqueria,42.360992,-71.067154,7,11,1,692
Fresco Flowers,42.360992,-71.06813,9,7,1,771
Supercuts,42.360992,-71.06729,9,8,2,692
Antonio's Cucina Italiana,42.360992,-71.06821,11,10,1,771
Ma Maison,42.360996,-71.06795,11,10,1,771
Felcaros Pizzeria,42.360996,-71.068054,11,11,1,772
Simmons Liquor,42.361004,-71.0661,9,11,1,764
American Dry Cleaners,42.361008,-71.06504,7,7,1,822
Jobi Liquors,42.361008,-71.06499,9,11,1,828
Cafe Podima,42.361008,-71.06493,11,11,1,828
Griddler's Burgers and Dogs,42.36101,-71.06589,10,10,1,764
TD Bank,42.36102,-71.06778,9,5,2,747
Fin's,42.36102,-71.06682,11,11,1,692
Starbucks,42.361027,-71.06649,6,9,1,832
Jose's Mexican Food Truck,42.36105,-71.08626,11,12,1,426
Clover Food Truck,42.36115,-71.08625,7,12,1,426
Charles MGH,42.361164,-71.070625,9,5,3,655
MIT Medical,42.36124,-71.08654,9,5,3,426
Au Bon Pain,42.36132,-71.0667,7,9,1,693
Jerusalem Cafe,42.361332,-71.08623,10,10,1,426
Pro Optical,42.36136,-71.065956,9,6,3,739
Bank of America,42.3614,-71.06543,9,5,2,678
Dewey Library,42.361404,-71.08341,9,5,2,541
Momogoose,42.36146,-71.086205,9,6,2,426
InterSystems Corporation,42.3615,-71.08136,9,5,2,408
Wyndham Boston Beacon Hill,42.36167,-71.06663,9,5,1,790
West End House,42.36169,-71.06718,9,9,2,784
Clink,42.361755,-71.07023,7,10,1,637
Liberty Bar,42.36192,-71.07012,11,2,1,637
Scampo,42.361935,-71.07046,11,2,1,638
CVS,42.36201,-71.06573,9,5,2,790
Whole Foods,42.362022,-71.06543,7,10,1,790
Bank Of America,42.362103,-71.084366,9,5,2,463
Information Resource Center,42.362125,-71.084564,9,5,2,485
Post Office,42.362137,-71.08447,9,5,1,484
Au Bon Pain,42.362175,-71.08506,7,9,1,387
Tatte Bakery and Caf_,42.362206,-71.0813,7,8,1,378
MIT Press Bookstore,42.36223,-71.085945,9,7,1,427
Kendall/MIT,42.362255,-71.08623,9,5,2,428
"Aegerion Pharmaceuticals, Inc.",42.362263,-71.079605,9,5,3,378
Cambridge Trust Company,42.362316,-71.08685,9,5,3,390
The Black Sheep,42.362343,-71.08722,7,10,1,390
